as_of,unit_id,unit_name,psi,psi_residual,drift_status,source,systemic_fraction,consecutive_major,alert_kind
2025-10-07,705089,Medical-Surgical 3 North,0.0387,0.5297,stable,test,1.0,1,transient
2025-10-14,705089,Medical-Surgical 3 North,0.1247,0.1799,moderate,test,0.444,0,stable
2025-10-21,705089,Medical-Surgical 3 North,0.223,0.1102,moderate,test,0.111,0,stable
2025-10-28,705089,Medical-Surgical 3 North,0.3408,0.1921,major,test,0.556,0,stable
2025-11-04,705089,Medical-Surgical 3 North,0.9155,0.3138,major,test,0.556,1,transient
2025-11-11,705089,Medical-Surgical 3 North,1.0673,0.3654,major,test,0.556,2,transient
2025-11-18,705089,Medical-Surgical 3 North,0.2516,0.4834,major,test,0.556,3,systemic
2025-11-25,705089,Medical-Surgical 3 North,0.4003,0.3198,major,test,0.444,4,true_drift
2025-12-02,705089,Medical-Surgical 3 North,0.2267,0.122,moderate,test,0.222,0,stable
2025-12-09,705089,Medical-Surgical 3 North,0.1405,0.1847,moderate,test,0.111,0,stable
2025-12-16,705089,Medical-Surgical 3 North,0.1942,0.2633,moderate,test,0.444,1,transient
2025-12-23,705089,Medical-Surgical 3 North,0.1321,0.2093,moderate,test,0.444,0,stable
2025-12-30,705089,Medical-Surgical 3 North,0.0396,0.122,stable,test,0.444,0,stable
2026-01-06,705089,Medical-Surgical 3 North,0.9325,0.1111,major,test,0.222,0,stable
2026-01-13,705089,Medical-Surgical 3 North,0.0814,0.0678,stable,test,0.556,0,stable
2026-01-20,705089,Medical-Surgical 3 North,1.3263,0.1208,major,test,0.667,0,stable
2026-01-27,705089,Medical-Surgical 3 North,0.026,1.4348,stable,test,0.667,1,transient
2026-02-03,705089,Medical-Surgical 3 North,1.4339,0.6165,major,test,0.667,2,transient
2026-02-10,705089,Medical-Surgical 3 North,0.1573,0.2159,moderate,test,0.556,0,stable
2026-02-17,705089,Medical-Surgical 3 North,0.1813,0.144,moderate,test,0.5,0,stable
2026-02-24,705089,Medical-Surgical 3 North,0.1589,0.1809,moderate,test,0.333,0,stable
2026-03-03,705089,Medical-Surgical 3 North,0.1664,0.4657,moderate,test,0.444,1,transient
2026-03-10,705089,Medical-Surgical 3 North,0.2845,0.2329,major,test,0.444,0,stable
2026-03-17,705089,Medical-Surgical 3 North,1.2426,0.4743,major,test,0.333,1,transient
2026-03-24,705089,Medical-Surgical 3 North,0.4253,0.4064,major,test,0.556,2,transient
2026-03-31,705089,Medical-Surgical 3 North,0.2655,0.2713,major,test,0.778,3,systemic
2026-04-07,705089,Medical-Surgical 3 North,0.1273,0.149,moderate,test,0.222,0,stable
2026-04-14,705089,Medical-Surgical 3 North,0.1756,0.1959,moderate,test,0.333,0,stable
2026-04-21,705089,Medical-Surgical 3 North,0.0535,0.3288,stable,test,0.2,1,transient
2026-04-28,705089,Medical-Surgical 3 North,0.0873,0.5763,stable,test,0.444,2,transient
2026-05-05,705089,Medical-Surgical 3 North,0.1327,0.2146,moderate,test,0.333,0,stable
2026-05-12,705089,Medical-Surgical 3 North,0.0885,0.1476,stable,test,0.333,0,stable
2026-05-19,705089,Medical-Surgical 3 North,0.1067,0.2162,moderate,test,0.556,0,stable
2025-10-07,705090,Telemetry 4 East,1.5689,0.8035,major,test,1.0,1,transient
2025-10-14,705090,Telemetry 4 East,5.7748,0.2738,major,test,0.444,2,transient
2025-10-21,705090,Telemetry 4 East,4.1233,0.0367,major,test,0.111,0,stable
2025-10-28,705090,Telemetry 4 East,3.2525,0.1352,major,test,0.556,0,stable
