unit_id,unit_name,psi,psi_residual,drift_status,consecutive_major,systemic_fraction,alert_kind,perf_delta_pct,perf_degraded,accuracy_pct,coverage_pct,accuracy_delta_from_median_pct,equity_status
60732673,Observation Unit,0.0,0.0,stable,0,0.2,stable,,False,,,,served
705089,Medical-Surgical 3 North,0.1067,0.2162,moderate,0,0.556,stable,4.95,False,93.53,0.9511,-2.8,served
705090,Telemetry 4 East,2.8119,0.2374,major,0,0.556,stable,6.16,False,63.58,0.9515,-32.75,underserved
705091,Cardiac Stepdown,0.099,0.1831,stable,0,0.556,stable,0.79,False,96.38,0.9511,0.05,served
705092,Oncology 5 South,0.1971,0.3318,moderate,1,0.556,transient,-0.64,False,96.33,0.9511,0.0,served
21334825,Surgical 2 West,0.0009,0.3335,stable,1,0.556,transient,-2.15,False,98.07,0.9511,1.74,served
21336305,Orthopedic 6 North,0.0671,0.4772,stable,1,0.556,transient,-2.9,False,98.56,0.9512,2.23,served
97635816,Progressive Care,0.0329,2.4265,stable,33,0.556,systemic,-4.72,False,98.58,0.9511,2.25,served
1775257343,Neuro Stepdown,0.1876,0.157,moderate,0,0.556,stable,-3.53,False,91.81,0.9511,-4.52,served
4452986337,Medical-Surgical 4 South,0.217,0.3132,moderate,2,0.556,transient,1.94,False,94.29,0.9511,-2.04,served
