model,horizon,mae,rmse,mape,within_2_patients_pct
ARIMA,1,1.18,1.63,7.63,81.98
Ensemble,1,0.47,0.67,3.13,96.46
LSTM,1,0.81,1.03,4.67,91.18
LightGBM,1,0.26,0.43,1.81,99.68
Prophet,1,1.74,2.01,9.96,78.01
RandomForest,1,0.27,0.43,1.82,99.7
ARIMA,2,1.18,1.63,7.63,82.0
Ensemble,2,0.73,0.98,4.8,93.25
LSTM,2,0.85,1.09,4.98,90.49
LightGBM,2,0.51,0.71,3.46,97.74
Prophet,2,1.74,2.01,9.96,78.0
RandomForest,2,0.51,0.73,3.49,97.41
ARIMA,3,1.18,1.63,7.62,82.0
Ensemble,3,0.85,1.11,5.52,91.26
LSTM,3,0.89,1.14,5.35,89.79
LightGBM,3,0.63,0.86,4.32,95.79
Prophet,3,1.74,2.01,9.97,77.98
RandomForest,3,0.64,0.89,4.35,95.3
ARIMA,4,1.18,1.63,7.63,82.0
Ensemble,4,0.88,1.15,5.87,90.75
LSTM,4,0.75,0.98,5.2,93.77
LightGBM,4,0.72,0.96,4.91,94.39
Prophet,4,1.74,2.01,9.97,77.97
RandomForest,4,0.72,0.98,4.9,93.75
ARIMA,12,1.18,1.63,7.64,81.98
Ensemble,12,1.13,1.42,7.2,86.18
LSTM,12,1.12,1.36,6.88,88.22
LightGBM,12,1.01,1.22,6.56,89.44
Prophet,12,1.75,2.02,9.99,77.88
RandomForest,12,1.02,1.27,6.63,88.25
ARIMA,24,1.17,1.62,7.62,82.06
Ensemble,24,1.16,1.44,7.36,85.32
LSTM,24,1.0,1.22,6.47,88.84
LightGBM,24,1.1,1.31,6.97,88.09
Prophet,24,1.75,2.02,10.02,77.75
RandomForest,24,1.15,1.41,7.27,85.2
ARIMA,48,1.17,1.6,7.58,82.2
Ensemble,48,1.25,1.54,7.73,83.9
LSTM,48,1.15,1.38,7.13,86.89
LightGBM,48,1.17,1.39,7.25,87.05
Prophet,48,1.77,2.04,10.08,77.49
RandomForest,48,1.32,1.58,7.93,81.52
ARIMA,72,1.17,1.61,7.61,82.08
Ensemble,72,1.24,1.53,7.7,83.89
LSTM,72,1.11,1.34,6.92,87.45
LightGBM,72,1.18,1.4,7.32,86.56
Prophet,72,1.78,2.04,10.14,77.18
RandomForest,72,1.3,1.56,7.94,81.56
