unit_id,unit_name,capacity,mean_census,median_census,min_census,max_census,std_census,total_rows
705089,Medical-Surgical 3 North,17,15.4,16.0,7,17,1.61,17505
705090,Telemetry 4 East,34,28.4,29.0,17,34,3.24,17505
705091,Cardiac Stepdown,20,18.8,19.0,11,20,1.37,17505
705092,Oncology 5 South,12,10.8,11.0,1,12,1.33,17493
21334825,Surgical 2 West,13,12.1,12.0,5,13,1.01,17505
21336305,Orthopedic 6 North,13,12.2,12.0,7,13,0.98,17505
60732673,Observation Unit,1,1.0,1.0,1,1,0.0,221
97635816,Progressive Care,11,10.3,11.0,5,11,0.92,17505
1775257343,Neuro Stepdown,20,18.2,19.0,10,20,1.87,17505
4452986337,Medical-Surgical 4 South,14,12.6,13.0,5,14,1.51,17505
